area,area_type,blend_alpha,people_MAE_pred,people_MAE_baseline,people_MAPE_pred(%),people_MAPE_baseline(%),wait_MAE_pred,wait_MAE_baseline,improved_vs_baseline_people,improved_vs_baseline_wait
A,checkin,0.55,0.323,0.328,29.11,32.302,0.017,0.017,True,True
B,checkin,0.25,10.041,10.769,24.772,26.725,2.051,2.194,True,True
C,checkin,0.0,9.456,9.456,20.158,20.158,2.132,2.132,False,False
D,checkin,0.35,7.442,8.071,18.411,19.36,1.325,1.451,True,True
E,checkin,0.65,6.128,6.714,16.627,17.977,0.693,0.76,True,True
F,checkin,0.6,5.038,5.231,16.971,17.06,0.489,0.511,True,True
G,checkin,0.05,6.029,6.168,21.203,21.737,0.586,0.598,True,True
H,checkin,0.05,9.361,10.373,24.353,23.528,1.892,2.021,True,True
J,checkin,0.3,6.537,8.33,35.409,32.186,1.01,1.299,True,True
K,checkin,0.7,5.912,5.961,51.182,46.928,0.536,0.538,True,True
L,checkin,0.5,5.136,4.908,45.195,43.108,0.405,0.386,False,False
M,checkin,0.0,2.499,2.499,62.454,62.454,0.164,0.164,False,False
N,checkin,0.7,1.478,1.568,43.742,52.999,0.092,0.097,True,True
Outside,outside,0.3,23.674,29.433,10.64,12.268,0.0,0.0,True,False
GH,transit,0.0,3.075,3.075,24.873,24.873,0.025,0.025,False,False
IM1,transit,0.35,10.521,10.818,21.088,21.564,0.124,0.127,True,True
IM2,transit,0.45,7.817,8.229,25.84,27.011,0.085,0.089,True,True
