loss,mae,lr
0.3233180046081543,0.6608267426490784,0.001
0.25503572821617126,0.5738652944564819,0.001
0.23283612728118896,0.5437718033790588,0.001
0.2235642522573471,0.5303996205329895,0.001
0.21793273091316223,0.5226103067398071,0.001
0.21398384869098663,0.516948938369751,0.001
0.2115250527858734,0.5134434700012207,0.001
0.20980466902256012,0.5105626583099365,0.001
0.2081906646490097,0.5086361169815063,0.001
0.20760779082775116,0.507328450679779,0.001
0.2064790278673172,0.5058178305625916,0.001
0.20551203191280365,0.5043297410011292,0.001
0.20504677295684814,0.5039237141609192,0.001
0.20448724925518036,0.5029047727584839,0.001
0.20391862094402313,0.5023570656776428,0.001
0.2036212980747223,0.5018044710159302,0.001
0.20292533934116364,0.500363826751709,0.001
0.20268714427947998,0.500458836555481,0.001
0.2015046328306198,0.4988747835159302,0.001
0.20146982371807098,0.4985588490962982,0.001
0.20106728374958038,0.49789702892303467,0.001
0.20082005858421326,0.4973149001598358,0.001
0.20039594173431396,0.49700286984443665,0.001
0.20045195519924164,0.4967588484287262,0.001
0.19961927831172943,0.49590831995010376,0.001
0.19887883961200714,0.4948454201221466,0.001
0.19916951656341553,0.49511757493019104,0.001
0.1989348828792572,0.4949865937232971,0.001
0.19587652385234833,0.4901520907878876,0.0005
0.19616465270519257,0.49037179350852966,0.0005
